date,total_clones,unique_clones
2022-08-31,2,2
2022-09-01,0,0
2022-09-02,0,0
2022-09-03,0,0
2022-09-04,0,0
2022-09-05,0,0
2022-09-06,0,0
2022-09-07,7,5
2022-09-08,5,3
2022-09-09,4,3
2022-09-10,1,1
2022-09-11,1,1
2022-09-12,1,1
2022-09-13,1,1
2022-09-14,1,1
2022-09-15,1,1
2022-09-16,1,1
2022-09-17,1,1
2022-09-18,1,1
2022-09-19,2,2
2022-09-20,1,1
2022-09-21,2,2
2022-09-22,2,2
2022-09-23,2,2
2022-09-24,2,2
2022-09-25,1,1
2022-09-26,1,1
2022-09-27,1,1
2022-09-28,1,1
2022-09-29,1,1
2022-09-30,1,1
2022-10-01,1,1
2022-10-02,3,2
2022-10-03,4,4
2022-10-04,2,2
2022-10-05,2,2
2022-10-06,2,2
2022-10-07,3,3
2022-10-08,4,3
2022-10-09,4,3
2022-10-10,4,3
2022-10-11,4,3
2022-10-12,4,3
2022-10-13,4,3
2022-10-14,5,4
2022-10-15,4,3
2022-10-16,0,0
